Rank,Name,Age,YTD,Singles,Doubles,Career
219,Ryan Peniston,30,97376.0,94699.0,2677.0,810358.0
220,Yu Hsiou Hsu,26,130286.0,107551.0,22735.0,769130.0
221,Lukas Neumayer,23,212074.0,208296.0,3778.0,438490.0
222,Lloyd Harris,28,452164.0,451874.0,290.0,4602746.0
223,Dmitry Popko,29,208301.0,203316.0,4985.0,938570.0
224,Nerman Fatic,31,71987.0,68640.0,3347.0,405736.0
225,Felipe Meligeni Alves,27,183606.0,171501.0,12105.0,1363210.0
226,Santiago Rodriguez Taverna,26,147994.0,130441.0,17553.0,606561.0
227,Arthur Bouquier,25,157081.0,152741.0,4340.0,235171.0
228,Marco Cecchinato,33,73760.0,72402.0,1358.0,5104859.0
229,Rio Noguchi,27,124292.0,107145.0,17147.0,437373.0
230,Genaro Alberto Olivieri,27,81860.0,78114.0,3746.0,598379.0
231,Rodrigo Pacheco Mendez,20,230461.0,212623.0,17838.0,357713.0
232,Matej Dodig,20,95522.0,86571.0,8951.0,169427.0
233,Lautaro Midon,21,69410.0,62962.0,6448.0,116852.0
234,Johannus Monday,23,217551.0,195377.0,22174.0,317580.0
235,Kimmer Coppejans,31,208664.0,205354.0,3310.0,1402681.0
236,Federico Cina,18,201126.0,200654.0,472.0,227750.0
237,Timofey Skatov,24,188431.0,183925.0,4506.0,972076.0
238,Marko Topo,22,82222.0,79673.0,2549.0,210441.0
239,Daniel Rincon,22,143326.0,131955.0,11371.0,480157.0
240,Alejandro Moro Canas,25,169472.0,166048.0,3424.0,514987.0
241,Gustavo Heide,23,105611.0,100821.0,4790.0,426806.0
242,Viktor Durasovic,28,128808.0,123108.0,5700.0,421021.0
243,Marc-Andrea Huesler,29,238865.0,220254.0,18611.0,2077233.0
244,Arthur Gea,20,125370.0,113811.0,11559.0,222197.0
245,Hady Habib,27,346851.0,342741.0,4110.0,499386.0
246,Andrea Collarini,33,219098.0,210907.0,8191.0,1014277.0
247,Max Houkes,25,70338.0,66163.0,4175.0,178559.0
248,Clement Chidekh,24,157678.0,143608.0,14070.0,292564.0
249,Murkel Dellien,28,155149.0,144659.0,10490.0,407210.0
250,Yi Zhou,20,121408.0,114448.0,6960.0,313632.0
251,Daniel Michalski,25,62743.0,61045.0,1698.0,246029.0
252,Kaichi Uchida,31,63539.0,49476.0,14063.0,629181.0
253,Juncheng Shang,20,405135.0,386705.0,18430.0,2178342.0
254,Benjamin Hassan,30,285783.0,278041.0,7742.0,730734.0
255,Juan Pablo Varillas,30,75547.0,75547.0,0.0,1732387.0
256,Joel Schwaerzler,19,98381.0,75536.0,22845.0,178862.0
257,Remy Bertola,27,81834.0,79474.0,2360.0,230940.0
258,Geoffrey Blancaneaux,27,168802.0,134693.0,34109.0,1024858.0
259,Calvin Hemery,30,185776.0,184345.0,1431.0,878902.0
260,Nicolas Kicker,33,53984.0,50875.0,3109.0,1217458.0
261,Ivan Gakhov,29,76519.0,72071.0,4448.0,521149.0
262,Toby Samuel,23,37500.0,37133.0,367.0,114259.0
263,Dimitar Kuzmanov,32,75402.0,74794.0,608.0,888262.0
264,Christopher Eubanks,29,351743.0,350565.0,1178.0,3834282.0
