player name,age,YTD,singles,doubles
Gabriel Diallo,24,1755135.0,1694023.0,61112.0
Grigor Dimitrov,34,1753525.0,1735659.0,17866.0
Luciano Darderi,23,1749423.0,1625078.0,124345.0
Jack Sock,24,1743433.0,1220799.0,522634.0
Jan-Lennard Struff,33,1739214.0,1701464.0,37750.0
David Goffin,28,1737921.0,1720860.0,17061.0
Felix Auger-Aliassime,23,1734514.0,1637948.0,96566.0
Feliciano Lopez,36,1731751.0,1303087.0,428664.0
Sebastian Korda,23,1727356.0,1686722.0,40634.0
Roberto Bautista Agut,30,1725352.0,1717622.0,7730.0
Guido Pella,29,1724447.0,1471932.0,252515.0
Alexander Bublik,27,1714205.0,1527508.0,186697.0
Feliciano Lopez,35,1706435.0,1068604.0,637831.0
Ugo Humbert,25,1698273.0,1678103.0,20170.0
Nuno Borges,28,1694475.0,1530329.0,164146.0
Jiri Lehecka,22,1690526.0,1603119.0,87407.0
Alex Michelsen,21,1685043.0,1464284.0,220759.0
Pierre-Hugues Herbert,28,1684171.0,868371.0,815800.0
Zhizhen Zhang,28,1669281.0,1448941.0,220340.0
John Isner,37,1668178.0,1076536.0,591642.0
Daniil Medvedev,22,1665414.0,1645300.0,20114.0
Brandon Nakashima,21,1662689.0,1646923.0,15766.0
Alejandro Davidovich Fokina,23,1662555.0,1531719.0,130836.0
Lorenzo Musetti,20,1661181.0,1620201.0,40980.0
Nikoloz Basilashvili,27,1656857.0,1571101.0,85756.0
Mackenzie McDonald,28,1656389.0,1468275.0,188114.0
Fernando Verdasco,35,1654378.0,1473493.0,180885.0
Alexander Bublik,26,1653590.0,1570556.0,83034.0
Grigor Dimitrov,25,1650268.0,1617502.0,32766.0
Ugo Humbert,27,1647011.0,1635293.0,11718.0
Tallon Griekspoor,27,1636208.0,1500660.0,135548.0
Lucas Pouille,25,1634275.0,1573714.0,60561.0
Jan-Lennard Struff,29,1633401.0,1416549.0,216852.0
Matteo Arnaldi,23,1620156.0,1599342.0,20814.0
Diego Schwartzman,25,1617789.0,1523297.0,94492.0
Flavio Cobolli,22,1616189.0,1544117.0,72072.0
Daniel Evans,33,1609462.0,1519445.0,90017.0
John Isner,31,1603763.0,1392559.0,211204.0
Borna Coric,26,1603586.0,1603586.0,0.0
Hyeon Chung,22,1588383.0,1550978.0,37405.0
Tomas Martin Etcheverry,25,1584681.0,1452743.0,131938.0
Borna Coric,27,1574516.0,1569364.0,5152.0
Andrey Rublev,22,1573436.0,1408761.0,164675.0
Dusan Lajovic,29,1573032.0,1439206.0,133826.0
Pierre-Hugues Herbert,27,1563924.0,848674.0,715250.0
Miomir Kecmanovic,23,1560836.0,1492670.0,68166.0
Jiri Lehecka,23,1554981.0,1527318.0,27663.0
Corentin Moutet,26,1549136.0,1531711.0,17425.0
Pablo Cuevas,31,1546063.0,1124361.0,421702.0
Tomas Martin Etcheverry,24,1544942.0,1438980.0,105962.0
Feliciano Lopez,34,1542755.0,1350027.0,192728.0
Grigor Dimitrov,31,1540569.0,1488481.0,52088.0
Tommy Paul,25,1539608.0,1408362.0,131246.0
Alexandre Muller,28,1539373.0,1421571.0,117802.0
Benoit Paire,30,1539066.0,1413171.0,125895.0
Borna Coric,23,1532057.0,1519236.0,12821.0
Pablo Cuevas,30,1531975.0,1270475.0,261500.0
Roger Federer,35,1527269.0,1527269.0,0.0
Arthur Fils,21,1509191.0,1464031.0,45160.0
Felix Auger-Aliassime,19,1507622.0,1476501.0,31121.0
Marco Cecchinato,26,1505180.0,1439736.0,65444.0
Denis Shapovalov,19,1500033.0,1461155.0,38878.0
Aslan Karatsev,30,1496201.0,1463565.0,32636.0
Milos Raonic,25,1493503.0,1482983.0,10520.0
Kei Nishikori,27,1491755.0,1485482.0,6273.0
Daniel Altmaier,27,1483733.0,1481497.0,2236.0
Mischa Zverev,30,1479705.0,1276820.0,202885.0
Gilles Simon,31,1475856.0,1437081.0,38775.0
Botic van de Zandschulp,27,1474274.0,1378752.0,95522.0
