,ATP Prize Money Leaders (US$),,,,
"Rankings Date: Nov 16, 2015",,,,,
Money,,,,,
Rank,Player,Career,YTD,Singles,Doubles
150,"Andujar, Pablo","$4,190,978","$773,363","$701,492","$71,871"
151,"Istomin, Denis","$4,173,624","$593,624","$516,272","$77,352"
152,"Bolelli, Simone","$4,171,771","$1,203,488","$634,088","$569,400"
153,"Ullyett, Kevin","$4,138,771",$0,$0,$0
154,"Stakhovsky, Sergiy","$4,101,015","$688,541","$629,510","$59,031"
155,"Bellucci, Thomaz","$4,094,090","$780,532","$731,423","$49,109"
156,"Roger-Vasselin, Edouard","$4,070,272","$666,132","$247,224","$418,908"
157,"El Aynaoui, Younes","$4,044,125",$36,$0,$36
158,"Ancic, Mario","$4,024,686",$0,$0,$0
159,"Prinosil, David","$4,016,496",$0,$0,$0
160,"Lu, Yen-Hsun","$3,988,958","$514,900","$460,007","$54,893"
161,"Becker, Benjamin","$3,979,735","$543,518","$491,232","$52,286"
162,"Leconte, Henri","$3,917,596",$0,$0,$0
163,"Volandri, Filippo","$3,903,992","$35,745","$35,745",$0
164,"Ginepri, Robby","$3,897,123","$6,455","$6,455",$0
165,"Martin, Alberto","$3,840,885",$0,$0,$0
166,"Starace, Potito","$3,796,316","$11,189","$9,138","$2,051"
167,"Stolle, Sandon","$3,762,442",$0,$0,$0
168,"Calleri, Agustin","$3,753,387",$0,$0,$0
169,"Tarango, Jeff","$3,730,289",$0,$0,$0
170,"Novacek, Karel","$3,729,540",$0,$0,$0
171,"Giraldo, Santiago","$3,715,261","$645,817","$573,526","$72,291"
172,"Krickstein, Aaron","$3,710,447",$0,$0,$0
173,"Mayer, Leonardo","$3,705,851","$814,582","$704,175","$110,407"
174,"Smid, Tomas","$3,699,738",$0,$0,$0
175,"Bautista Agut, Roberto","$3,688,327","$1,275,439","$1,249,406","$26,033"
176,"Arthurs, Wayne","$3,687,809",$36,$0,$36
Page 4 of 483,Statistics/ Prize Money/ Career,,,Report as of,"Nov 15, 2015"
,ATP Prize Money Leaders (US$),,,,
"Rankings Date: Nov 16, 2015",,,,,
Money,,,,,
Rank,Player,Career,YTD,Singles,Doubles
177,"Borg, Bjorn","$3,655,751",$0,$0,$0
178,"Suk, Cyril","$3,651,530",$0,$0,$0
179,"Cuevas, Pablo","$3,647,082","$1,023,296","$780,570","$242,726"
180,"Petzschner, Philipp","$3,642,473","$121,912","$15,026","$106,886"
181,"Acasuso, Jose","$3,642,422",$0,$0,$0
182,"Gambill, Jan-Michael","$3,612,785",$198,$0,$198
183,"Haase, Robin","$3,609,202","$518,721","$434,629","$84,092"
184,"Arazi, Hicham","$3,602,644",$0,$0,$0
185,"Tomic, Bernard","$3,601,931","$1,188,195","$1,158,571","$29,624"
186,"Ulihrach, Bohdan","$3,553,302",$0,$0,$0
187,"O'Brien, Alex","$3,526,390",$0,$0,$0
188,"Pospisil, Vasek","$3,486,127","$1,337,584","$856,814","$480,770"
189,"Srichaphan, Paradorn","$3,459,655",$0,$0,$0
190,"Rosol, Lukas","$3,446,220","$821,431","$709,956","$111,475"
191,"Noah, Yannick","$3,440,660",$0,$0,$0
192,"Palmer, Jared","$3,413,189",$0,$0,$0
193,"Matkowski, Marcin","$3,377,914","$447,082",$0,"$447,082"
194,"Gabashvili, Teymuraz","$3,369,958","$612,668","$557,072","$55,596"
195,"Koubek, Stefan","$3,365,024",$0,$0,$0
196,"Volkov, Alexander","$3,362,786",$0,$0,$0
197,"Janowicz, Jerzy","$3,355,637","$602,089","$588,780","$13,309"
198,"Berlocq, Carlos","$3,350,136","$248,810","$192,871","$55,939"
199,"Black, Wayne","$3,300,258",$0,$0,$0
200,"Peya, Alexander","$3,283,835","$337,645",$0,"$337,645"
201,"Grabb, Jim","$3,274,155",$0,$0,$0
202,"Stoltenberg, Jason","$3,259,607",$0,$0,$0
203,"Muller, Gilles","$3,245,083","$809,786","$749,895","$59,891"
204,"Washington, MaliVai","$3,232,565",$0,$0,$0
205,"Stark, Jonathan","$3,220,867",$0,$0,$0
206,"Escude, Nicolas","$3,216,150",$0,$0,$0
207,"Olhovskiy, Andrei","$3,208,620",$0,$0,$0
208,"Fitzgerald, John","$3,207,272",$0,$0,$0
209,"Zabaleta, Mariano","$3,204,127",$0,$0,$0
210,"Kulti, Nicklas","$3,186,946",$0,$0,$0
211,"Carbonell, Tomas","$3,157,584",$0,$0,$0
212,"Paire, Benoit","$3,140,243","$902,047","$855,640","$46,407"
213,"Masur, Wally","$3,134,718",$0,$0,$0
214,"Costa, Carlos","$3,134,189",$0,$0,$0
215,"Dlouhy, Lukas","$3,120,754",$246,$0,$246
216,"McEnroe, Patrick","$3,118,316",$0,$0,$0
217,"Melo, Marcelo","$3,116,234","$949,964",$0,"$949,964"
218,"Chesnokov, Andrei","$3,084,188",$0,$0,$0
219,"Lindstedt, Robert","$3,076,021","$252,019",$0,"$252,019"
