"ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
"Rank Player                                            YTD         Singles   Doubles        Career"
"216      Opelka, Reilly                          $112,870        $106,786      $6,084   $134,960"
"217      Daniell, Marcus                         $112,785              $0    $112,785    $265,886"
"218      Myneni, Saketh                          $112,722        $104,322      $8,400   $240,073"
"219      Gonzalez, Alejandro                     $111,398        $101,820      $9,578   $992,025"
"220      Robredo, Tommy                          $110,242        $100,835      $9,407 $12,897,457"
""
"Page 5 of 109                       Statistics/ Prize Money/ Current            Report as of Dec 21, 2016"
"                           ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
"Rank Player                                        YTD         Singles   Doubles        Career"
"221      Andujar, Pablo                      $110,155         $86,964     $23,191   $4,301,135"
"222      Ward, James                         $109,072        $102,078      $6,994   $1,154,997"
"223      Arnaboldi, Andrea                   $106,726         $89,981     $16,745     $588,836"
"224      Barrere, Gregoire                   $106,130         $87,634     $18,496     $159,687"
"225      Fleming, Colin                      $105,010              $0    $105,010   $1,076,823"
"226      Duran, Guillermo                    $104,922          $1,201    $103,721     $256,308"
"227      Kicker, Nicolas                     $104,654         $97,361      $7,293     $187,366"
"228      Soeda, Go                           $104,599        $100,907      $3,692   $1,611,633"
"229      Ito, Tatsuma                        $103,710        $101,220      $2,490   $1,180,152"
"230      Mmoh, Michael                       $103,218        $103,038        $180     $136,005"
"231      Janowicz, Jerzy                     $102,997         $94,252      $8,745   $3,458,635"
"232      Clezar, Guilherme                   $102,018         $90,813     $11,205     $438,765"
"233      Melzer, Jurgen                      $101,736         $67,594     $34,142   $9,836,692"
"234      Saville, Luke                       $101,676         $82,105     $19,571     $426,842"
"235      Fyrstenberg, Mariusz                $101,490              $0    $101,490   $3,038,452"
"236      Middelkoop, Matwe                   $101,104          $3,144     $97,960     $431,708"
"237      Diez, Steven                         $99,908         $97,020      $2,888     $280,453"
"238      Butorac, Eric                        $99,457          $1,670     $97,787   $1,728,454"
"239      Souza, Joao                          $98,986         $84,751     $14,235   $1,223,801"
"240      Shamasdin, Adil                      $98,725              $0     $98,725     $455,026"
"241      Paul, Tommy                          $98,720         $81,077     $17,643     $167,677"
"242      McDonald, Mackenzie                  $98,538         $82,188     $16,350     $150,753"
"243      Gojowczyk, Peter                     $98,089         $96,698      $1,391     $758,187"
"244      Vanni, Luca                          $98,067         $94,448      $3,619     $483,438"
"245      Nedovyesov, Aleksandr                $97,772         $89,159      $8,613     $767,233"
"246      Peralta, Julio                       $97,522              $0     $97,522     $215,544"
"247      Li, Zhe                              $95,701         $78,204     $17,497     $319,038"
"248      Olivetti, Albano                     $94,929         $70,082     $24,847     $370,739"
"249      Zemlja, Grega                        $94,453         $93,273      $1,180   $1,211,619"
"250      Klein, Brydan                        $93,065         $77,087     $15,978     $520,751"
"251      Molteni, Andres                      $92,802          $3,280     $89,522     $344,826"
"252      Moriya, Hiroki                       $91,945         $89,519      $2,426     $510,100"
"253      Arevalo, Marcelo                     $90,522         $65,189     $25,333     $195,427"
"254      Koolhof, Wesley                      $89,685              $0     $89,685     $181,315"
"255      Samper-Montana, Jordi                $89,182         $87,719      $1,463     $263,062"
"256      Ivashka, Ilya                        $88,812         $84,605      $4,207     $118,032"
"257      Jasika, Omar                         $87,829         $59,831     $27,998     $154,664"
"258      Podlipnik-Castillo, Hans             $86,071         $33,640     $52,431     $331,352"
"259      Menendez-Maceiras, Adrian            $86,042         $79,362      $6,680     $739,541"
"260      Knowle, Julian                       $83,864              $0     $83,864   $2,962,494"
"261      Lopez-Perez, Enrique                 $83,851         $74,648      $9,203     $239,502"
"262      Weintraub, Amir                      $83,836         $79,390      $4,446     $442,380"
"263      Sarkissian, Alexander                $83,822         $80,722      $3,100     $144,076"
"264      Demoliner, Marcelo                   $83,611          $1,233     $82,378     $358,691"
""
"Page 6 of 109                   Statistics/ Prize Money/ Current            Report as of Dec 21, 2016"
"                           ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 26, 2016"
"Money"
