"ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                 Career          YTD           Singles     Doubles"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                 Career         YTD           Singles     Doubles"
"177      Leach, Rick                                    $4,293,554            $0              $0            $0"
"178      Giraldo, Santiago                              $4,278,893      $244,747        $242,497        $2,250"
"179      Klizan, Martin                                 $4,274,759      $381,271        $360,936       $20,335"
"180      Clavet, Francisco                              $4,271,881            $0              $0            $0"
"181      Johnson, Steve                                 $4,231,510    $1,005,440       $933,228        $72,212"
"182      Young, Donald                                  $4,216,868      $926,672        $713,155      $213,517"
"183      Ullyett, Kevin                                 $4,138,771            $0              $0            $0"
"184      Zverev, Mischa                                 $4,115,572    $1,479,705      $1,276,820      $202,885"
"185      Rosol, Lukas                                   $4,096,004      $155,127        $150,488        $4,639"
"186      Rojer, Jean-Julien                             $4,095,533      $784,537              $0      $784,537"
"187      Ram, Rajeev                                    $4,092,933      $548,020         $69,490      $478,530"
"188      El Aynaoui, Younes                             $4,044,667          $366            $258          $108"
"189      Lorenzi, Paolo                                 $4,039,685    $1,152,042       $979,470       $172,572"
"190      Ancic, Mario                                   $4,024,686            $0              $0            $0"
"191      Herbert, Pierre-Hugues                         $4,021,201    $1,190,783       $548,422       $642,361"
"192      Berlocq, Carlos                                $4,018,067      $448,194        $412,192       $36,002"
"193      Prinosil, David                                $4,016,496            $0              $0            $0"
"194      Gabashvili, Teymuraz                           $3,998,721      $135,174        $128,665        $6,509"
"195      Volandri, Filippo                              $3,949,631            $0              $0            $0"
"196      Lopez, Marc                                    $3,922,419      $449,557              $0      $449,557"
"197      Leconte, Henri                                 $3,917,596            $0              $0            $0"
"198      Petzschner, Philipp                            $3,911,273      $147,605              $0      $147,605"
"199      Ginepri, Robby                                 $3,897,123            $0              $0            $0"
"200      Matkowski, Marcin                              $3,892,175      $211,626          $1,025      $210,601"
"201      Martin, Alberto                                $3,840,885            $0              $0            $0"
"202      Peya, Alexander                                $3,837,848      $192,403              $0      $192,403"
"203      Starace, Potito                                $3,796,316            $0              $0            $0"
"204      Stolle, Sandon                                 $3,762,442            $0              $0            $0"
"205      Calleri, Agustin                               $3,753,387            $0              $0            $0"
"206      Janowicz, Jerzy                                $3,753,236      $294,600        $283,923       $10,677"
"207      Tarango, Jeff                                  $3,730,289            $0              $0            $0"
"208      Novacek, Karel                                 $3,729,540            $0              $0            $0"
"209      Bopanna, Rohan                                 $3,726,523      $517,790              $0      $517,790"
"210      Krickstein, Aaron                              $3,710,447            $0              $0            $0"
"211      Smid, Tomas                                    $3,699,738            $0              $0            $0"
"212      Arthurs, Wayne                                 $3,687,809            $0              $0            $0"
"213      Kukushkin, Mikhail                             $3,663,017      $531,828        $524,936        $6,892"
"214      Borg, Bjorn                                    $3,655,751            $0              $0            $0"
"215      Suk, Cyril                                     $3,651,530            $0              $0            $0"
"216      Acasuso, Jose                                  $3,642,422            $0              $0            $0"
"217      Harrison, Ryan                                 $3,624,828    $1,336,784       $780,131       $556,653"
"218      Gambill, Jan-Michael                           $3,612,893            $0              $0            $0"
"219      Zeballos, Horacio                              $3,602,816      $873,266        $707,541      $165,725"
"220      Arazi, Hicham                                  $3,602,644            $0              $0            $0"
""
"Page 5 of 531                     Statistics/ Prize Money/ Career          Report as of Dec 5, 2017"
"                          ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                Career         YTD           Singles       Doubles"
"221      Sela, Dudi                                    $3,574,712      $518,288        $474,394         $43,894"
"222      Ulihrach, Bohdan                              $3,553,302            $0              $0              $0"
"223      O'Brien, Alex                                 $3,526,390            $0              $0              $0"
"224      Srichaphan, Paradorn                          $3,459,655            $0              $0              $0"
"225      Murray, Jamie                                 $3,445,999      $676,388              $0        $676,388"
"226      Noah, Yannick                                 $3,440,660            $0              $0              $0"
"227      Lindstedt, Robert                             $3,415,390      $122,795              $0        $122,795"
"228      Palmer, Jared                                 $3,413,189            $0              $0              $0"
"229      Koubek, Stefan                                $3,365,024            $0              $0              $0"
"230      Volkov, Alexander                             $3,362,840           $54              $0             $54"
"231      Black, Wayne                                  $3,300,258            $0              $0              $0"
"232      Grabb, Jim                                    $3,274,155            $0              $0              $0"
"233      Stoltenberg, Jason                            $3,259,607            $0              $0              $0"
"234      Washington, MaliVai                           $3,232,565            $0              $0              $0"
"235      Stark, Jonathan                               $3,220,867            $0              $0              $0"
"236      Escude, Nicolas                               $3,216,150            $0              $0              $0"
"237      Olhovskiy, Andrei                             $3,208,620            $0              $0              $0"
"238      Fitzgerald, John                              $3,207,272            $0              $0              $0"
"239      Zabaleta, Mariano                             $3,204,127            $0              $0              $0"
"240      Kulti, Nicklas                                $3,186,946            $0              $0              $0"
"241      Gimeno-Traver, Daniel                         $3,159,310       $33,743         $32,878            $865"
"242      Carbonell, Tomas                              $3,157,584            $0              $0              $0"
"243      Dlouhy, Lukas                                 $3,141,040            $0              $0              $0"
"244      Masur, Wally                                  $3,134,718            $0              $0              $0"
"245      Costa, Carlos                                 $3,134,189            $0              $0              $0"
