"ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 31, 2018"
"Money"
"Rank Player                                                      YTD   Singles     Doubles           Career"
"202      Jung, Jason                                      $164,219    $159,598     $4,621         $394,811"
"203      Cerretani, Jamie                                 $163,743          $0   $163,743         $865,311"
"204      Broady, Liam                                     $163,689    $143,260    $20,429         $521,275"
"205      Monroe, Nicholas                                 $163,107      $1,070   $162,037       $1,140,903"
"206      Melzer, Jurgen                                   $159,365    $102,038    $57,327      $10,095,512"
"207      Berlocq, Carlos                                  $157,815    $148,981     $8,834       $4,175,883"
"208      Bagnis, Facundo                                  $154,503    $145,773     $8,730       $1,274,694"
"209      Krajicek, Austin                                 $153,954     $11,580   $142,374         $991,953"
"210      Harrison, Christian                              $150,884    $124,996    $25,888         $354,467"
"211      Pavlasek, Adam                                   $150,654    $148,349     $2,305         $621,394"
"212      Garin, Christian                                 $150,318    $148,427     $1,891         $356,116"
"213      Popyrin, Alexei                                  $148,075    $147,265       $810         $163,444"
"214      Jebavy, Roman                                    $147,908          $0   $147,908         $406,443"
"215      Clarke, Jay                                      $147,239    $137,311     $9,928         $229,668"
"216      Gombos, Norbert                                  $146,867    $144,552     $2,315         $757,599"
"217      Krueger, Mitchell                                $146,865    $139,105     $7,760         $465,018"
"218      Oswald, Philipp                                  $146,588          $0   $146,588         $898,902"
"219      Molteni, Andres                                  $142,849      $1,341   $141,508         $628,747"
"220      Matkowski, Marcin                                $141,668          $0   $141,668       $4,033,844"
""
"Page 5 of 100                      Statistics/ Prize Money/ Current         Report as of Dec 30, 2018"
"                            ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 31, 2018"
"Money"
"Rank Player                                                   YTD    Singles    Doubles           Career"
"221      Martin, Fabrice                                $140,786      $1,070   $139,716         $947,442"
"222      Giraldo, Santiago                              $140,477    $138,931     $1,546       $4,419,372"
"223      Menendez-Maceiras, Adrian                      $140,269    $133,294     $6,975       $1,078,402"
"224      Otte, Oscar                                    $139,785    $133,409     $6,376         $271,512"
"225      Safwat, Mohamed                                $139,677    $134,493     $5,184         $451,749"
"226      Caruso, Salvatore                              $139,675    $133,731     $5,944         $357,507"
"227      Elias, Gastao                                  $138,959    $133,736     $5,223       $1,161,920"
"228      Bublik, Alexander                              $138,300    $131,288     $7,012         $428,940"
"229      Kavcic, Blaz                                   $135,339    $133,084     $2,255       $1,854,855"
"230      Brown, Dustin                                  $135,086    $120,014    $15,072       $2,769,001"
"231      Polmans, Marc                                  $134,879    $116,764    $18,115         $380,130"
"232      Kecmanovic, Miomir                             $132,001    $128,231     $3,770         $183,255"
"233      King, Darian                                   $130,089    $118,132    $11,957         $469,160"
"234      Giannessi, Alessandro                          $129,444    $123,543     $5,901         $764,122"
"235      Zhang, Ze                                      $127,120     $83,368    $43,752         $919,888"
"236      Paes, Leander                                  $123,800          $0   $123,800       $8,486,563"
"237      Robredo, Tommy                                 $123,206    $116,164     $7,042      $13,295,567"
"238      Gerasimov, Egor                                $120,577    $120,577         $0         $357,518"
"239      Gaio, Federico                                 $120,126    $108,001    $12,125         $402,687"
"240      King, Evan                                     $120,085     $90,244    $29,841         $317,940"
"241      Lestienne, Constant                            $116,202    $106,591     $9,611         $277,140"
"242      Vatutin, Alexey                                $116,137    $114,321     $1,816         $275,659"
"243      Bellucci, Thomaz                               $116,126    $110,261     $5,865       $5,273,883"
"244      Puetz, Tim                                     $115,849     $18,439    $97,410         $399,185"
"245      Skupski, Ken                                   $115,590          $0   $115,590         $719,929"
"246      King, Kevin                                    $115,013    $104,663    $10,350         $256,723"
"247      Martinez, Pedro                                $114,487    $100,591    $13,896         $190,812"
"248      Nielsen, Frederik                              $113,268      $5,606   $107,662       $1,043,595"
"249      Demoliner, Marcelo                             $113,257          $0   $113,257         $671,678"
"250      Eubanks, Christopher                           $113,254     $98,589    $14,665         $259,535"
"251      Kolar, Zdenek                                  $113,238    $104,313     $8,925         $214,635"
"252      Petzschner, Philipp                            $113,144      $3,319   $109,825       $4,024,417"
"253      Ofner, Sebastian                               $111,824    $109,754     $2,070         $346,369"
"254      Londero, Juan Ignacio                          $111,383    $106,141     $5,242         $298,052"
"255      Bonzi, Benjamin                                $110,861     $89,701    $21,160         $274,154"
"256      Nys, Hugo                                      $109,138      $5,625   $103,513         $285,010"
"257      Reyes-Varela, Miguel Angel                     $108,651      $1,630   $107,021         $271,154"
"258      Sousa, Pedro                                   $107,758    $101,177     $6,581         $434,333"
"259      Vanni, Luca                                    $107,666    $103,661     $4,005         $695,267"
"260      Milojevic, Nikola                              $106,551     $99,285     $7,266         $283,788"
"261      Dellien, Hugo                                  $106,130     $96,763     $9,367         $215,555"
"262      Wu, Yibing                                     $106,040    $104,910     $1,130         $189,116"
"263      Napolitano, Stefano                            $103,954    $102,489     $1,465         $368,800"
"264      Podlipnik-Castillo, Hans                       $103,718          $0   $103,718         $529,012"
""
"Page 6 of 100                    Statistics/ Prize Money/ Current         Report as of Dec 30, 2018"
"                            ATP Prize Money Leaders (US$)"
"Rankings Date:Dec 31, 2018"
"Money"
"Rank Player                                                     YTD    Singles    Doubles           Career"
"265      Galovic, Viktor                                  $103,084    $101,963     $1,121         $206,650"
"266      De Schepper, Kenny                               $101,851     $97,218     $4,633       $1,600,842"
"267      Bambridge, Luke                                  $101,759      $1,471   $100,288         $201,085"
"268      Oliveira, Goncalo                                $101,661     $78,219    $23,442         $218,309"
"269      Lee, Duckhee                                     $101,639    $100,469     $1,170         $325,183"
"270      Soeda, Go                                        $100,918     $97,588     $3,330       $1,867,699"
"271      Purcell, Max                                     $100,884     $70,915    $29,969         $178,241"
"272      Li, Zhe                                          $100,241     $72,991    $27,250         $458,508"
"273      Ignatik, Uladzimir                                $99,476     $95,213     $4,263         $637,741"
"274      Molleker, Rudolf                                  $99,157     $95,737     $3,420         $122,366"
"275      Schnur, Brayden                                   $99,109     $94,303     $4,806         $217,927"
"276      Hoang, Antoine                                    $98,960     $86,982    $11,978         $158,971"
"277      Ojeda Lara, Ricardo                               $98,228     $95,729     $2,499         $211,893"
"278      Krawietz, Kevin                                   $97,234     $34,715    $62,519         $284,662"
"279      Moraing, Mats                                     $97,014     $90,784     $6,230         $164,423"
"280      Koepfer, Dominik                                  $96,304     $94,394     $1,910         $145,170"
"281      Nestor, Daniel                                    $96,259          $0    $96,259      $12,835,671"
"282      Uchiyama, Yasutaka                                $96,222     $68,691    $27,531         $467,078"
"283      Majchrzak, Kamil                                  $96,220     $92,501     $3,719         $206,877"
"284      Martin, Andrej                                    $95,639     $83,769    $11,870         $805,549"
"285      Ito, Tatsuma                                      $93,951     $91,341     $2,610       $1,400,897"
"286      Lopez Perez, Enrique                              $93,636     $78,007    $15,629         $402,998"
"287      Janvier, Maxime                                   $93,420     $90,619     $2,801         $219,082"
"288      Safranek, Vaclav                                  $91,905     $89,975     $1,930         $252,068"
"289      Griekspoor, Tallon                                $91,901     $90,835     $1,066         $183,231"
"290      Raja, Purav                                       $89,955          $0    $89,955         $473,755"
"291      Sakharov, Gleb                                    $89,709     $85,505     $4,204         $276,946"
