Rank,Player,YTD,Singles,Doubles,Career
295,"Delbonis, Federico",128591,126926,1665,6138770
296,"Ficovich, Juan Pablo",128474,123267,5207,471417
297,"Stevens, Bart",127328,574,126754,185683
298,"Hong, Seongchan",127274,122371,4903,236539
299,"Cacic, Nikola",126739,0,126739,1011483
300,"Bellier, Antoine",126433,121864,4569,341421
301,"Gombos, Norbert",126335,126335,0,2230532
302,"Giannessi, Alessandro",126297,118188,8109,1417227
303,"Noguchi, Rio",125424,113568,11856,262188
304,"Ionel, Nicholas David",124973,120058,4915,214491
305,"Golubev, Andrey",124684,530,124154,3314031
306,"Gerasimov, Egor",124237,118983,5254,2024161
307,"Gaio, Federico",123910,117907,6003,1053017
308,"Tsitsipas, Petros",123705,916,122789,304563
309,"Reyes-Varela, Miguel Angel",123261,0,123261,604903
310,"McLachlan, Ben",122596,0,122596,1478397
311,"Olivo, Renzo",121204,110670,10534,1371247
312,"Nagal, Sumit",120713,116398,4315,731553
313,"Barrientos, Nicolas",118514,1787,116727,472875
314,"Rodriguez Taverna, Santiago",116882,97963,18919,350062
315,"Neuchrist, Maximilian",116059,103063,12996,362776
316,"Fery, Arthur",114733,113508,1225,214357
317,"Ilkel, Cem",114663,113561,1102,730461
318,"Sachko, Vitaliy",114013,103952,10061,300943
319,"Harris, Billy",113517,107699,5818,218862
320,"Added, Dan",112673,69010,43663,265007
321,"Oswald, Philipp",112532,0,112532,1559815
322,"Bu, Yunchaokete",112176,104721,7455,149874
323,"Patten, Henry",110379,0,110379,172585
324,"Dougaz, Aziz",109136,103390,5746,261062
325,"Myneni, Saketh",109084,0,109084,514549
326,"Tien, Learner",107709,106469,1240,192915
327,"Balazs, Attila",104880,104880,0,1051664
328,"Escobedo, Ernesto",104117,101250,2867,1536516
329,"Loffhagen, George",103390,103210,180,132433
330,"Berankis, Ricardas",103003,103003,0,4809577
331,"Hardt, Nick",101395,94267,7128,198171
332,"Rincon, Daniel",101001,83661,17340,146034
333,"Walton, Adam",100139,83896,16243,123684
334,"Saville, Luke",99554,53607,45947,1348582
335,"Shimizu, Yuta",98893,89230,9663,207198
336,"Balaji, N.Sriram",96827,0,96827,380583
337,"Krueger, Mitchell",96441,85345,11096,1225281
338,"Zhukayev, Beibit",95516,94792,724,163238
339,"Damm, Martin",94622,79175,15447,178257
340,"Cornea, Victor Vlad",93812,0,93812,178381
341,"Sels, Jelle",93317,89368,3949,297327
342,"Schoolkate, Tristan",92548,76280,16268,216233
343,"Geerts, Michael",92367,78072,14295,277043
344,"Celikbilek, Altug",91594,90230,1364,492770
345,"Verdasco, Fernando",91525,91080,445,18349505
346,"Sekulic, Philip",90924,90924,0,133007
347,"Hassan, Benjamin",90879,88695,2184,182801
348,"Duran, Guillermo",89296,574,88722,655979
349,"Prizmic, Dino",88610,88514,96,109055
350,"Lopez, Feliciano",88453,85730,2723,18706677
351,"Madaras, Dragos Nicolae",88228,80432,7796,184696
352,"Serdarusic, Nino",88005,62873,25132,497502
353,"Guinard, Manuel",87802,64170,23632,544771
354,"Sakellaridis, Stefanos",87490,77066,10424,106970
355,"Sandgren, Tennys",87484,84050,3434,3558568
356,"Smith, John-Patrick",86819,785,86034,1675587
357,"Giustino, Lorenzo",85626,82538,3088,895943
358,"Roca Batalla, Oriol",85479,64102,21377,380773
359,"Uchiyama, Yasutaka",85314,72681,12633,1447302
360,"Fatic, Nerman",85175,81488,3687,222032
361,"Stalder, Reese",84971,385,84586,121578
362,"Lajal, Mark",83944,82390,1554,105242
363,"Yevseyev, Denis",83816,78341,5475,305283
364,"Nedunchezhiyan, Jeevan",83609,310,83299,443258
365,"Napolitano, Stefano",82522,81205,1317,608839
366,"Molleker, Rudolf",82421,74687,7734,533118
367,"Molchanov, Denys",80500,319,80181,809716
368,"Laaksonen, Henri",79936,79936,0,2376339
369,"McCabe, James",79202,74298,4904,130599
370,"Valkusz, Mate",79091,78772,319,186440
371,"Pel, David",77955,580,77375,288474
372,"Lavagno, Edoardo",77685,75139,2546,120792
373,"Hidalgo, Diego",77088,1880,75208,239215
374,"Martinez, Luis David",76948,0,76948,288237
375,"Ajdukovic, Duje",76883,76414,469,238639
376,"Blumberg, William",76618,390,76228,219653
377,"Michalski, Daniel",75187,74055,1132,157085
378,"Spizzirri, Eliot",74722,59103,15619,126769
379,"Mayo, Aidan",74267,74177,90,87350
380,"Donskoy, Evgeny",74143,71884,2259,3406235
381,"Jebens, Hendrik",73926,2665,71261,103907
382,"Kachmazov, Alibek",73474,70479,2995,143066
383,"Collignon, Raphael",71386,70636,750,106643
384,"Burruchaga, Roman Andres",71350,62270,9080,128862
385,"Broom, Charles",69931,57639,12292,135411
386,"Jung, Jason",69740,66680,3060,1147676
387,"Andujar, Pablo",69662,69662,0,7034571
